ID,Station,DateTimeET,Parameter,Depth_m,FinalResult,Units,Probe_Type,UniqueID,DataSource,DataSourceID,ImportDate
235,302,2025-04-15T10:59:00Z,pH,3.993,6.69,pH,YSI_EXO2,302_2025-04-15 10:59_3.993_pH_4,HoldingPond_profiles_2025.xlsx_302_15Apr,45,2025-08-08
236,302,2025-04-15T10:59:00Z,Turbidity FNU,3.993,0.45,FNU,YSI_EXO2,302_2025-04-15 10:59_3.993_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,46,2025-08-08
237,302,2025-04-15T10:59:00Z,Blue Green Algae RFU,3.993,0.56,RFU,YSI_EXO2,302_2025-04-15 10:59_3.993_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,47,2025-08-08
238,302,2025-04-15T10:59:00Z,Blue Green Algae,3.993,0.58,ug/L,YSI_EXO2,302_2025-04-15 10:59_3.993_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15Apr,48,2025-08-08
239,302,2025-04-15T10:59:00Z,Chlorophyll RFU,3.993,0.39,RFU,YSI_EXO2,302_2025-04-15 10:59_3.993_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,49,2025-08-08
240,302,2025-04-15T10:59:00Z,Chlorophyll,3.993,1.41,ug/L,YSI_EXO2,302_2025-04-15 10:59_3.993_Chl_4,HoldingPond_profiles_2025.xlsx_302_15Apr,50,2025-08-08
241,302,2025-04-15T11:00:00Z,Water Temperature,4.98,5.72,Deg-C,YSI_EXO2,302_2025-04-15 11:00_4.98_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15Apr,51,2025-08-08
242,302,2025-04-15T11:00:00Z,Oxygen Saturation,4.98,89,%,YSI_EXO2,302_2025-04-15 11:00_4.98_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15Apr,52,2025-08-08
243,302,2025-04-15T11:00:00Z,Dissolved Oxygen,4.98,11.16,mg/L,YSI_EXO2,302_2025-04-15 11:00_4.98_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15Apr,53,2025-08-08
244,302,2025-04-15T11:00:00Z,Specific Conductance,4.98,89.3,uS/cm,YSI_EXO2,302_2025-04-15 11:00_4.98_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15Apr,54,2025-08-08
245,302,2025-04-15T11:00:00Z,pH,4.98,6.64,pH,YSI_EXO2,302_2025-04-15 11:00_4.98_pH_4,HoldingPond_profiles_2025.xlsx_302_15Apr,55,2025-08-08
246,302,2025-04-15T11:00:00Z,Turbidity FNU,4.98,0.44,FNU,YSI_EXO2,302_2025-04-15 11:00_4.98_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,56,2025-08-08
247,302,2025-04-15T11:00:00Z,Blue Green Algae RFU,4.98,0.53,RFU,YSI_EXO2,302_2025-04-15 11:00_4.98_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,57,2025-08-08
248,302,2025-04-15T11:00:00Z,Blue Green Algae,4.98,0.55,ug/L,YSI_EXO2,302_2025-04-15 11:00_4.98_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15Apr,58,2025-08-08
249,302,2025-04-15T11:00:00Z,Chlorophyll RFU,4.98,0.36,RFU,YSI_EXO2,302_2025-04-15 11:00_4.98_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15Apr,59,2025-08-08
250,302,2025-04-15T11:00:00Z,Chlorophyll,4.98,1.28,ug/L,YSI_EXO2,302_2025-04-15 11:00_4.98_Chl_4,HoldingPond_profiles_2025.xlsx_302_15Apr,60,2025-08-08
889,LP3,2025-05-08T10:29:00Z,Chlorophyll RFU,0.471,0.08,RFU,YSI_EXO2,LP3_2025-05-08 10:29_0.471_Chl-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,9,2025-08-08
890,LP3,2025-05-08T10:29:00Z,Chlorophyll,0.471,0.45,ug/L,YSI_EXO2,LP3_2025-05-08 10:29_0.471_Chl_4,LongPond_profiles_2025.xlsx_2025-05_lp3,10,2025-08-08
891,LP3,2025-05-08T10:30:00Z,Water Temperature,1.004,16.227,Deg-C,YSI_EXO2,LP3_2025-05-08 10:30_1.004_TWA-C_4,LongPond_profiles_2025.xlsx_2025-05_lp3,11,2025-08-08
892,LP3,2025-05-08T10:30:00Z,Oxygen Saturation,1.004,98.3,%,YSI_EXO2,LP3_2025-05-08 10:30_1.004_LDOs_4,LongPond_profiles_2025.xlsx_2025-05_lp3,12,2025-08-08
893,LP3,2025-05-08T10:30:00Z,Dissolved Oxygen,1.004,9.65,mg/L,YSI_EXO2,LP3_2025-05-08 10:30_1.004_LDOd_4,LongPond_profiles_2025.xlsx_2025-05_lp3,13,2025-08-08
894,LP3,2025-05-08T10:30:00Z,Specific Conductance,1.004,150.1,uS/cm,YSI_EXO2,LP3_2025-05-08 10:30_1.004_SPCD_4,LongPond_profiles_2025.xlsx_2025-05_lp3,14,2025-08-08
895,LP3,2025-05-08T10:30:00Z,pH,1.004,6.53,pH,YSI_EXO2,LP3_2025-05-08 10:30_1.004_pH_4,LongPond_profiles_2025.xlsx_2025-05_lp3,15,2025-08-08
896,LP3,2025-05-08T10:30:00Z,Turbidity FNU,1.004,0.41,FNU,YSI_EXO2,LP3_2025-05-08 10:30_1.004_TUR-FNU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,16,2025-08-08
897,LP3,2025-05-08T10:30:00Z,Blue Green Algae RFU,1.004,0.07,RFU,YSI_EXO2,LP3_2025-05-08 10:30_1.004_BGA-PC-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,17,2025-08-08
898,LP3,2025-05-08T10:30:00Z,Blue Green Algae,1.004,0.08,ug/L,YSI_EXO2,LP3_2025-05-08 10:30_1.004_BGA-PC_4,LongPond_profiles_2025.xlsx_2025-05_lp3,18,2025-08-08
899,LP3,2025-05-08T10:30:00Z,Chlorophyll RFU,1.004,0.12,RFU,YSI_EXO2,LP3_2025-05-08 10:30_1.004_Chl-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,19,2025-08-08
900,LP3,2025-05-08T10:30:00Z,Chlorophyll,1.004,0.62,ug/L,YSI_EXO2,LP3_2025-05-08 10:30_1.004_Chl_4,LongPond_profiles_2025.xlsx_2025-05_lp3,20,2025-08-08
901,LP3,2025-05-08T10:31:00Z,Water Temperature,1.49,16.173,Deg-C,YSI_EXO2,LP3_2025-05-08 10:31_1.49_TWA-C_4,LongPond_profiles_2025.xlsx_2025-05_lp3,21,2025-08-08
902,LP3,2025-05-08T10:31:00Z,Water Temperature,1.982,16.142,Deg-C,YSI_EXO2,LP3_2025-05-08 10:31_1.982_TWA-C_4,LongPond_profiles_2025.xlsx_2025-05_lp3,22,2025-08-08
903,LP3,2025-05-08T10:31:00Z,Oxygen Saturation,1.49,98.2,%,YSI_EXO2,LP3_2025-05-08 10:31_1.49_LDOs_4,LongPond_profiles_2025.xlsx_2025-05_lp3,23,2025-08-08
904,LP3,2025-05-08T10:31:00Z,Oxygen Saturation,1.982,98.2,%,YSI_EXO2,LP3_2025-05-08 10:31_1.982_LDOs_4,LongPond_profiles_2025.xlsx_2025-05_lp3,24,2025-08-08
905,LP3,2025-05-08T10:31:00Z,Dissolved Oxygen,1.49,9.65,mg/L,YSI_EXO2,LP3_2025-05-08 10:31_1.49_LDOd_4,LongPond_profiles_2025.xlsx_2025-05_lp3,25,2025-08-08
906,LP3,2025-05-08T10:31:00Z,Dissolved Oxygen,1.982,9.66,mg/L,YSI_EXO2,LP3_2025-05-08 10:31_1.982_LDOd_4,LongPond_profiles_2025.xlsx_2025-05_lp3,26,2025-08-08
907,LP3,2025-05-08T10:31:00Z,Specific Conductance,1.49,150.1,uS/cm,YSI_EXO2,LP3_2025-05-08 10:31_1.49_SPCD_4,LongPond_profiles_2025.xlsx_2025-05_lp3,27,2025-08-08
908,LP3,2025-05-08T10:31:00Z,Specific Conductance,1.982,150.2,uS/cm,YSI_EXO2,LP3_2025-05-08 10:31_1.982_SPCD_4,LongPond_profiles_2025.xlsx_2025-05_lp3,28,2025-08-08
909,LP3,2025-05-08T10:31:00Z,pH,1.49,6.55,pH,YSI_EXO2,LP3_2025-05-08 10:31_1.49_pH_4,LongPond_profiles_2025.xlsx_2025-05_lp3,29,2025-08-08
910,LP3,2025-05-08T10:31:00Z,pH,1.982,6.57,pH,YSI_EXO2,LP3_2025-05-08 10:31_1.982_pH_4,LongPond_profiles_2025.xlsx_2025-05_lp3,30,2025-08-08
911,LP3,2025-05-08T10:31:00Z,Turbidity FNU,1.49,0.39,FNU,YSI_EXO2,LP3_2025-05-08 10:31_1.49_TUR-FNU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,31,2025-08-08
912,LP3,2025-05-08T10:31:00Z,Turbidity FNU,1.982,0.42,FNU,YSI_EXO2,LP3_2025-05-08 10:31_1.982_TUR-FNU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,32,2025-08-08
913,LP3,2025-05-08T10:31:00Z,Blue Green Algae RFU,1.49,0.04,RFU,YSI_EXO2,LP3_2025-05-08 10:31_1.49_BGA-PC-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,33,2025-08-08
914,LP3,2025-05-08T10:31:00Z,Blue Green Algae RFU,1.982,0.05,RFU,YSI_EXO2,LP3_2025-05-08 10:31_1.982_BGA-PC-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,34,2025-08-08
915,LP3,2025-05-08T10:31:00Z,Blue Green Algae,1.49,0.06,ug/L,YSI_EXO2,LP3_2025-05-08 10:31_1.49_BGA-PC_4,LongPond_profiles_2025.xlsx_2025-05_lp3,35,2025-08-08
916,LP3,2025-05-08T10:31:00Z,Blue Green Algae,1.982,0.07,ug/L,YSI_EXO2,LP3_2025-05-08 10:31_1.982_BGA-PC_4,LongPond_profiles_2025.xlsx_2025-05_lp3,36,2025-08-08
917,LP3,2025-05-08T10:31:00Z,Chlorophyll RFU,1.49,0.15,RFU,YSI_EXO2,LP3_2025-05-08 10:31_1.49_Chl-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,37,2025-08-08
918,LP3,2025-05-08T10:31:00Z,Chlorophyll RFU,1.982,0.16,RFU,YSI_EXO2,LP3_2025-05-08 10:31_1.982_Chl-RFU_4,LongPond_profiles_2025.xlsx_2025-05_lp3,38,2025-08-08
311,302,2025-05-15T10:47:00Z,Water Temperature,0.461,17.728,Deg-C,YSI_EXO2,302_2025-05-15 10:47_0.461_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,1,2025-08-08
312,302,2025-05-15T10:47:00Z,Oxygen Saturation,0.461,94.7,%,YSI_EXO2,302_2025-05-15 10:47_0.461_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,2,2025-08-08
313,302,2025-05-15T10:47:00Z,Dissolved Oxygen,0.461,9.01,mg/L,YSI_EXO2,302_2025-05-15 10:47_0.461_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,3,2025-08-08
314,302,2025-05-15T10:47:00Z,Specific Conductance,0.461,72.6,uS/cm,YSI_EXO2,302_2025-05-15 10:47_0.461_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,4,2025-08-08
315,302,2025-05-15T10:47:00Z,pH,0.461,6.79,pH,YSI_EXO2,302_2025-05-15 10:47_0.461_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,5,2025-08-08
316,302,2025-05-15T10:47:00Z,Turbidity FNU,0.461,0.32,FNU,YSI_EXO2,302_2025-05-15 10:47_0.461_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,6,2025-08-08
317,302,2025-05-15T10:47:00Z,Blue Green Algae RFU,0.461,0.06,RFU,YSI_EXO2,302_2025-05-15 10:47_0.461_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,7,2025-08-08
318,302,2025-05-15T10:47:00Z,Blue Green Algae,0.461,0.06,ug/L,YSI_EXO2,302_2025-05-15 10:47_0.461_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,8,2025-08-08
319,302,2025-05-15T10:47:00Z,Chlorophyll RFU,0.461,0.84,RFU,YSI_EXO2,302_2025-05-15 10:47_0.461_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,9,2025-08-08
320,302,2025-05-15T10:47:00Z,Chlorophyll,0.461,3.39,ug/L,YSI_EXO2,302_2025-05-15 10:47_0.461_Chl_4,HoldingPond_profiles_2025.xlsx_302_15May,10,2025-08-08
321,302,2025-05-15T10:48:00Z,Water Temperature,0.973,17.13,Deg-C,YSI_EXO2,302_2025-05-15 10:48_0.973_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,11,2025-08-08
322,302,2025-05-15T10:48:00Z,Water Temperature,1.522,16.084,Deg-C,YSI_EXO2,302_2025-05-15 10:48_1.522_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,12,2025-08-08
323,302,2025-05-15T10:48:00Z,Water Temperature,2.017,15.359,Deg-C,YSI_EXO2,302_2025-05-15 10:48_2.017_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,13,2025-08-08
324,302,2025-05-15T10:48:00Z,Water Temperature,2.417,14.112,Deg-C,YSI_EXO2,302_2025-05-15 10:48_2.417_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,14,2025-08-08
325,302,2025-05-15T10:48:00Z,Oxygen Saturation,0.973,93.7,%,YSI_EXO2,302_2025-05-15 10:48_0.973_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,15,2025-08-08
326,302,2025-05-15T10:48:00Z,Oxygen Saturation,1.522,90.1,%,YSI_EXO2,302_2025-05-15 10:48_1.522_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,16,2025-08-08
327,302,2025-05-15T10:48:00Z,Oxygen Saturation,2.017,87.4,%,YSI_EXO2,302_2025-05-15 10:48_2.017_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,17,2025-08-08
328,302,2025-05-15T10:48:00Z,Oxygen Saturation,2.417,84.8,%,YSI_EXO2,302_2025-05-15 10:48_2.417_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,18,2025-08-08
329,302,2025-05-15T10:48:00Z,Dissolved Oxygen,0.973,9.03,mg/L,YSI_EXO2,302_2025-05-15 10:48_0.973_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,19,2025-08-08
330,302,2025-05-15T10:48:00Z,Dissolved Oxygen,1.522,8.87,mg/L,YSI_EXO2,302_2025-05-15 10:48_1.522_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,20,2025-08-08
331,302,2025-05-15T10:48:00Z,Dissolved Oxygen,2.017,8.74,mg/L,YSI_EXO2,302_2025-05-15 10:48_2.017_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,21,2025-08-08
332,302,2025-05-15T10:48:00Z,Dissolved Oxygen,2.417,8.71,mg/L,YSI_EXO2,302_2025-05-15 10:48_2.417_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,22,2025-08-08
333,302,2025-05-15T10:48:00Z,Specific Conductance,0.973,73.3,uS/cm,YSI_EXO2,302_2025-05-15 10:48_0.973_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,23,2025-08-08
334,302,2025-05-15T10:48:00Z,Specific Conductance,1.522,75.9,uS/cm,YSI_EXO2,302_2025-05-15 10:48_1.522_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,24,2025-08-08
335,302,2025-05-15T10:48:00Z,Specific Conductance,2.017,76.6,uS/cm,YSI_EXO2,302_2025-05-15 10:48_2.017_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,25,2025-08-08
336,302,2025-05-15T10:48:00Z,Specific Conductance,2.417,72.1,uS/cm,YSI_EXO2,302_2025-05-15 10:48_2.417_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,26,2025-08-08
337,302,2025-05-15T10:48:00Z,pH,0.973,6.51,pH,YSI_EXO2,302_2025-05-15 10:48_0.973_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,27,2025-08-08
338,302,2025-05-15T10:48:00Z,pH,1.522,6.35,pH,YSI_EXO2,302_2025-05-15 10:48_1.522_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,28,2025-08-08
339,302,2025-05-15T10:48:00Z,pH,2.017,6.27,pH,YSI_EXO2,302_2025-05-15 10:48_2.017_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,29,2025-08-08
340,302,2025-05-15T10:48:00Z,pH,2.417,6.2,pH,YSI_EXO2,302_2025-05-15 10:48_2.417_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,30,2025-08-08
341,302,2025-05-15T10:48:00Z,Turbidity FNU,0.973,0.37,FNU,YSI_EXO2,302_2025-05-15 10:48_0.973_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,31,2025-08-08
342,302,2025-05-15T10:48:00Z,Turbidity FNU,1.522,0.39,FNU,YSI_EXO2,302_2025-05-15 10:48_1.522_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,32,2025-08-08
343,302,2025-05-15T10:48:00Z,Turbidity FNU,2.017,0.4,FNU,YSI_EXO2,302_2025-05-15 10:48_2.017_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,33,2025-08-08
344,302,2025-05-15T10:48:00Z,Turbidity FNU,2.417,0.42,FNU,YSI_EXO2,302_2025-05-15 10:48_2.417_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,34,2025-08-08
345,302,2025-05-15T10:48:00Z,Blue Green Algae RFU,0.973,0.07,RFU,YSI_EXO2,302_2025-05-15 10:48_0.973_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,35,2025-08-08
346,302,2025-05-15T10:48:00Z,Blue Green Algae RFU,1.522,0.03,RFU,YSI_EXO2,302_2025-05-15 10:48_1.522_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,36,2025-08-08
347,302,2025-05-15T10:48:00Z,Blue Green Algae RFU,2.017,0.04,RFU,YSI_EXO2,302_2025-05-15 10:48_2.017_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,37,2025-08-08
348,302,2025-05-15T10:48:00Z,Blue Green Algae RFU,2.417,0.03,RFU,YSI_EXO2,302_2025-05-15 10:48_2.417_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,38,2025-08-08
349,302,2025-05-15T10:48:00Z,Blue Green Algae,0.973,0.08,ug/L,YSI_EXO2,302_2025-05-15 10:48_0.973_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,39,2025-08-08
350,302,2025-05-15T10:48:00Z,Blue Green Algae,1.522,0.03,ug/L,YSI_EXO2,302_2025-05-15 10:48_1.522_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,40,2025-08-08
351,302,2025-05-15T10:48:00Z,Blue Green Algae,2.017,0.05,ug/L,YSI_EXO2,302_2025-05-15 10:48_2.017_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,41,2025-08-08
352,302,2025-05-15T10:48:00Z,Blue Green Algae,2.417,0.04,ug/L,YSI_EXO2,302_2025-05-15 10:48_2.417_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,42,2025-08-08
353,302,2025-05-15T10:48:00Z,Chlorophyll RFU,0.973,0.73,RFU,YSI_EXO2,302_2025-05-15 10:48_0.973_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,43,2025-08-08
354,302,2025-05-15T10:48:00Z,Chlorophyll RFU,1.522,0.51,RFU,YSI_EXO2,302_2025-05-15 10:48_1.522_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,44,2025-08-08
355,302,2025-05-15T10:48:00Z,Chlorophyll RFU,2.017,0.43,RFU,YSI_EXO2,302_2025-05-15 10:48_2.017_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,45,2025-08-08
356,302,2025-05-15T10:48:00Z,Chlorophyll RFU,2.417,0.43,RFU,YSI_EXO2,302_2025-05-15 10:48_2.417_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,46,2025-08-08
357,302,2025-05-15T10:48:00Z,Chlorophyll,0.973,2.97,ug/L,YSI_EXO2,302_2025-05-15 10:48_0.973_Chl_4,HoldingPond_profiles_2025.xlsx_302_15May,47,2025-08-08
358,302,2025-05-15T10:48:00Z,Chlorophyll,1.522,2.08,ug/L,YSI_EXO2,302_2025-05-15 10:48_1.522_Chl_4,HoldingPond_profiles_2025.xlsx_302_15May,48,2025-08-08
359,302,2025-05-15T10:48:00Z,Chlorophyll,2.017,1.73,ug/L,YSI_EXO2,302_2025-05-15 10:48_2.017_Chl_4,HoldingPond_profiles_2025.xlsx_302_15May,49,2025-08-08
360,302,2025-05-15T10:48:00Z,Chlorophyll,2.417,1.74,ug/L,YSI_EXO2,302_2025-05-15 10:48_2.417_Chl_4,HoldingPond_profiles_2025.xlsx_302_15May,50,2025-08-08
361,302,2025-05-15T10:49:00Z,Water Temperature,2.506,13.934,Deg-C,YSI_EXO2,302_2025-05-15 10:49_2.506_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,51,2025-08-08
362,302,2025-05-15T10:49:00Z,Water Temperature,3,13.06,Deg-C,YSI_EXO2,302_2025-05-15 10:49_3_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,52,2025-08-08
363,302,2025-05-15T10:49:00Z,Water Temperature,3.521,12.391,Deg-C,YSI_EXO2,302_2025-05-15 10:49_3.521_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,53,2025-08-08
364,302,2025-05-15T10:49:00Z,Water Temperature,4.039,12.022,Deg-C,YSI_EXO2,302_2025-05-15 10:49_4.039_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_15May,54,2025-08-08
365,302,2025-05-15T10:49:00Z,Oxygen Saturation,2.506,84.7,%,YSI_EXO2,302_2025-05-15 10:49_2.506_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,55,2025-08-08
366,302,2025-05-15T10:49:00Z,Oxygen Saturation,3,82.8,%,YSI_EXO2,302_2025-05-15 10:49_3_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,56,2025-08-08
367,302,2025-05-15T10:49:00Z,Oxygen Saturation,3.521,81.3,%,YSI_EXO2,302_2025-05-15 10:49_3.521_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,57,2025-08-08
368,302,2025-05-15T10:49:00Z,Oxygen Saturation,4.039,80.2,%,YSI_EXO2,302_2025-05-15 10:49_4.039_LDOs_4,HoldingPond_profiles_2025.xlsx_302_15May,58,2025-08-08
369,302,2025-05-15T10:49:00Z,Dissolved Oxygen,2.506,8.74,mg/L,YSI_EXO2,302_2025-05-15 10:49_2.506_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,59,2025-08-08
370,302,2025-05-15T10:49:00Z,Dissolved Oxygen,3,8.7,mg/L,YSI_EXO2,302_2025-05-15 10:49_3_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,60,2025-08-08
371,302,2025-05-15T10:49:00Z,Dissolved Oxygen,3.521,8.68,mg/L,YSI_EXO2,302_2025-05-15 10:49_3.521_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,61,2025-08-08
372,302,2025-05-15T10:49:00Z,Dissolved Oxygen,4.039,8.63,mg/L,YSI_EXO2,302_2025-05-15 10:49_4.039_LDOd_4,HoldingPond_profiles_2025.xlsx_302_15May,62,2025-08-08
373,302,2025-05-15T10:49:00Z,Specific Conductance,2.506,70.9,uS/cm,YSI_EXO2,302_2025-05-15 10:49_2.506_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,63,2025-08-08
374,302,2025-05-15T10:49:00Z,Specific Conductance,3,68.9,uS/cm,YSI_EXO2,302_2025-05-15 10:49_3_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,64,2025-08-08
375,302,2025-05-15T10:49:00Z,Specific Conductance,3.521,67.9,uS/cm,YSI_EXO2,302_2025-05-15 10:49_3.521_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,65,2025-08-08
376,302,2025-05-15T10:49:00Z,Specific Conductance,4.039,67.1,uS/cm,YSI_EXO2,302_2025-05-15 10:49_4.039_SPCD_4,HoldingPond_profiles_2025.xlsx_302_15May,66,2025-08-08
377,302,2025-05-15T10:49:00Z,pH,2.506,6.18,pH,YSI_EXO2,302_2025-05-15 10:49_2.506_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,67,2025-08-08
378,302,2025-05-15T10:49:00Z,pH,3,6.14,pH,YSI_EXO2,302_2025-05-15 10:49_3_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,68,2025-08-08
379,302,2025-05-15T10:49:00Z,pH,3.521,6.1,pH,YSI_EXO2,302_2025-05-15 10:49_3.521_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,69,2025-08-08
380,302,2025-05-15T10:49:00Z,pH,4.039,6.09,pH,YSI_EXO2,302_2025-05-15 10:49_4.039_pH_4,HoldingPond_profiles_2025.xlsx_302_15May,70,2025-08-08
381,302,2025-05-15T10:49:00Z,Turbidity FNU,2.506,0.45,FNU,YSI_EXO2,302_2025-05-15 10:49_2.506_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,71,2025-08-08
382,302,2025-05-15T10:49:00Z,Turbidity FNU,3,0.43,FNU,YSI_EXO2,302_2025-05-15 10:49_3_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,72,2025-08-08
383,302,2025-05-15T10:49:00Z,Turbidity FNU,3.521,0.48,FNU,YSI_EXO2,302_2025-05-15 10:49_3.521_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,73,2025-08-08
384,302,2025-05-15T10:49:00Z,Turbidity FNU,4.039,0.56,FNU,YSI_EXO2,302_2025-05-15 10:49_4.039_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_15May,74,2025-08-08
385,302,2025-05-15T10:49:00Z,Blue Green Algae RFU,2.506,0.01,RFU,YSI_EXO2,302_2025-05-15 10:49_2.506_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,75,2025-08-08
386,302,2025-05-15T10:49:00Z,Blue Green Algae RFU,3,0.09,RFU,YSI_EXO2,302_2025-05-15 10:49_3_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,76,2025-08-08
387,302,2025-05-15T10:49:00Z,Blue Green Algae RFU,3.521,0.06,RFU,YSI_EXO2,302_2025-05-15 10:49_3.521_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,77,2025-08-08
388,302,2025-05-15T10:49:00Z,Blue Green Algae RFU,4.039,0.05,RFU,YSI_EXO2,302_2025-05-15 10:49_4.039_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_15May,78,2025-08-08
389,302,2025-05-15T10:49:00Z,Blue Green Algae,2.506,0.01,ug/L,YSI_EXO2,302_2025-05-15 10:49_2.506_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,79,2025-08-08
390,302,2025-05-15T10:49:00Z,Blue Green Algae,3,0.1,ug/L,YSI_EXO2,302_2025-05-15 10:49_3_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,80,2025-08-08
391,302,2025-05-15T10:49:00Z,Blue Green Algae,3.521,0.07,ug/L,YSI_EXO2,302_2025-05-15 10:49_3.521_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,81,2025-08-08
392,302,2025-05-15T10:49:00Z,Blue Green Algae,4.039,0.05,ug/L,YSI_EXO2,302_2025-05-15 10:49_4.039_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_15May,82,2025-08-08
